기억찾는거 너무 허무함 ㅋㅋㅋ	ㅇㅇ	1485032969
김고은 연기가 진짜 별로야?	ㅇㅇ	1485032969
써니 어차피 기억 잃어도 왕여 좋아할꺼임	ㅇㅇ	1485032968
아 장고새끼 진짜 존나 싫음 개싫음 극혐	ㅇㅇ	1485032967
내가맞춰볼게 지은탁 임신했는데 애기 지키고 죽는듯	ㅇㅇ	1485032963
은숙이 드디어 새드냐?	ㅇㅇ	1485032963
도깨비 15회 분량 짧아서 청률 내려갈듯	ㅇㅇ	1485032962
나비는 뭐야?	ㅇㅇ	1485032961
깨비가본 써니 미래는 뭔데	ㅇㅇ	1485032959
근데 써니 왜 자살함?	ㅇㅇ	1485032960
대놓고 새드 예고 = 확실안 해피엔딩	ㅇㅇ	1485032963
야 근데 어제 예고에 분명 누워서 키스하는거있었는데	ㅇㅇ	1485032955
기억 찾는거 너무 싱거워서 김빠졌는데 김신이 존좋	ㅇㅇ	1485032953
미풍이도 눈썰매타면 제정신아닌거다	ㅇㅇ	1485032952
잘받아지는 좌표 가져왔어	ㅇㅇ	1485032955
그냥 다 죽고 하늘세계에서 해피엔딩	ㅇㅇ	1485032947
더킹 캐릭 누가 젤 좋냐?	ㅇㅇ	1485032941
도깨비 다 죽고 다음생으로 만나서 리셋각	ㅇㅇ	1485032942
미풍아 손호준 개ㅆㅆㅆㅆㅆㅆㅆ극혐	ㅇㅇ	1485032941
은탁이 이모 귀신이냐? 헐	ㅇㅇ	1485032939
공유 확실히 초반 찍은 비주얼이 개쩖	ㅇㅇ	1485032938
갠적으로 오늘꺼 설렘이유	ㅇㅇ	1485032941
예고가 새드어야 사람들이 자리 안뜨고 보지 ㅋㅋ	ㅇㅇ	1485032933
써니 자살해서 저승사자 되는 거?	ㅇㅇ	1485032932
아닠ㅋㅋㅋㅋㅋㅋ바로막방하는데 예고편해줄거라 생각도 못함ㅋㅋㅋㅋ	ㅇㅇ	1485032930
은숙아 제발 새드	ㅇㅇ	1485032929
도깨비 속편 이거 아닐까	ㅇㅇ	1485032932
다 죽자 발리 엔딩 넘어보자 ㄱㄱㄱㄱ	ㅇㅇ	1485032925
아까 인민군 배우 누구냐 상큼하고 잘생	ㅇㅇ	1485032923
15화 끝나고 예고해줬니	ㅇㅇ	1485032921
써니가 자살할 얼굴이 아닌데 ㅋㅋ	ㅇㅇ	1485032920
어 치킨 미리 시켰어야 되는데	ㅇㅇ	1485032918
환생 해피엔딩같다 느낌이	ㅇㅇ	1485032918
써니랑 저승이는 제대로 연애도 못해보고 고통만 받다 뒤지다니 억울하다	ㅇㅇ	1485032921
호텔에서 키스신왜짜른거야?	oo	1485032917
장고 질척 오지네	ㅇㅇ	1485032913
공유 이동욱 둘다 비줘 ㅁㅊㄷ	ㅇㅇ	1485032911
분명 써니 죽은건데 저승이 찻집에서 만나니까 존나 애틋하고 달달	ㅇㅇ	1485032912
김선은 현생에서도 단명하냐ㅜ	ㅇㅇ	1485032911
은탁이 죽어야	ㅇㅇ	1485032910
16회위해 15회피피엘하느라 반쯤 버린거라 믿고 기다린다	ㅇㅇ	1485032908
써니 죽어서 우는거 아냐'??	ㅇㅇ	1485032906
16회 몇분에 시작해?	ㅇㅇ	1485032906
임지연 귀여워ㅋㅋ	ㅇㅇ	1485032904
케이블이라 은숙이가 모험하는듯 작품중유일하게 새드	ㅇㅇ	1485032902
그래 다 죽이는것도 한드에서 색다로울듯하다	ㅇㅇ	1485032901
권혁수 볼케이노 광고 뭐냨ㅋㅋㅋㅋㅋㅋㅋ	ㅇㅇ	1485032892
나 1분 못봤는데 뭔일 있었어? 왜 다 죽는데??	ㅇㅇ	1485032890
근데 김신 왜 써니한테 별관심이 없냐?	ㅇㅇ	1485032883
그와중에 공유는 비줠이 미쳤구나 ㅠㅠ	ㅇㅇ	1485032877
~혼란갤~	ㅇㅇ	1485032874
도깨비 분량 생각보다 짧나보네	ㅇㅇ	1485032871
공유는 우리 드라마사에 일찌기 없던 멋짐같아	ㅇㅇ	1485032870
저 예고에서 어케 해피가 나오지;;	ㅇㅇ	1485032869
은숙이 드디어 새드엔딩이냐?	ㅇㅇ	1485032871
긷줌들 또 심술부리고있냐?	ㅇㅇ	1485032867
은숙이모 새드 부탁해여	킹니갓니	1485032866
야 은탁이가 도깨비한테 우리 10년뒤에 동갑된다는게	ㅇㅇ	1485032866
해피긴 해피일텐데 예고에서 저러는거보면	ㅇㅇ	1485032865
미풍이 저 개멍청한게 이혼 안하는거 아님?	ㅇㅇ	1485032865
이조녁씨 나오긴 나와?	ㅇㅇ	1485032864
니들이 하도  은숙이 해피밖에 못쓴다니깐	ㅇㅇ	1485032864
솔로몬보는사람없냐	ㅇㅇ	1485032864
권혁수 광고 ㅋㅋㅋㅋㅋ 미친 ㅋㅋㅋ굽네 볼케이노 ㅋㅋㅋ	ㅇㅇ	1485032868
오늘 공유 진짜 좋다ㅋㅋ	ㅇㅇ	1485032863
티비앤 시작시간 알려주는거좋지 않냐?	ㅇㅇ	1485032861
이게 모야.  죽어??????????? 나비는 뭐해?	Oh	1485032854
김은숙 해피충이자나 그래서 다 죽이는 거 아님??	ㅇㅇ	1485032852
은숙이 미쳤냐 여주들을 다 죽이려고?	ㅇㅇ	1485032851
도깨비 해피엔딩에 100원 건다	ㅇㅇ	1485032847
근데 이제훈	ㅇㅇ	1485032843
다 죽고 환생해서 만나는거 아냐? ㅋㅋㅋ	ㅇㅇ	1485032845
11분남았다고 친절히 알려주네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	ㅇㅇ	1485032842
은탁이 이모가 귀신이라늬?????	ㅇㅇ	1485032841
손호준 초반에는 개발연기였는데 조금 연기 늘었다.	ㅇㅇ	1485032842
다 죽고 하늘가네 ㅋㅋㅋㅋㅋ	ㅇㅇ	1485032839
야 그럼 아까 김신이 본 써니 미래는 뭔데	ㅇㅇ	1485032838
은숙아 ㅅㅂ 예고로 낚는ㄱ지?  아씨 ㅜㅜ	ㅇㅇ	1485032837
